trial,strain,length,width_v,width_p
1,MT,0.644,0.027,0.013
1,MT,0.804,0.034,0.03
1,MT,1.03,0.064,0.041
1,MT,0.657,0.034,0.027
1,MT,0.849,0.032,0.032
1,MT,0.72,0.046,0.026
1,MT,0.945,0.05,0.032
1,MT,0.769,0.034,0.023
1,MT,,,
1,MT,0.85,0.049,0.03
1,MT,1.012,0.065,0.044
1,MT,0.801,0.042,0.034
1,MT,0.972,0.061,0.031
1,MT,1.189,0.079,0.044
1,MT,0.957,0.053,0.029
1,MT,1.044,0.052,0.04
1,MT,0.977,0.059,0.0355
1,MT,0.939,0.066,0.029
1,MT,0.815,0.032,0.026
1,MT,0.732,0.037,0.043
1,MT,1.087,0.064,0.049
2,MT,0.49,0.029,0.018
2,MT,1.16,0.076,0.043
2,MT,1.157,0.071,0.039
2,MT,1.073,0.064,0.04
2,MT,0.863,0.064,0.05
2,MT,0.981,0.065,0.037
2,MT,0.856,0.046,0.032
2,MT,0.952,0.073,0.033
2,MT,1.051,0.072,0.04
2,MT,1.069,0.072,0.045
2,MT,0.759,0.033,0.026
2,MT,0.906,0.053,0.038
2,MT,,,
2,MT,1.089,0.069,0.045
2,MT,1.019,0.069,0.044
2,MT,1.186,0.073,0.034
2,MT,1.015,0.057,0.028
2,MT,0.81,0.043,0.03
2,MT,1.016,0.082,0.046
2,MT,0.951,,
2,MT,0.954,0.065,0.035
3,MT,1.102,0.068,0.052
3,MT,1.102,0.09,0.054
3,MT,0.867,0.072,0.058
3,MT,0.875,0.051,0.041
3,MT,1.057,0.077,0.048
3,MT,0.768,0.064,0.051
3,MT,1.126,0.081,0.064
3,MT,1.042,0.082,0.049
3,MT,0.767,0.042,0.053
3,MT,1.014,0.084,0.053
3,MT,1.004,0.082,0.048
3,MT,0.967,0.088,0.071
3,MT,0.861,0.048,0.028
3,MT,1.078,0.075,0.036
3,MT,1.045,0.074,0.041
3,MT,0.864,0.052,0.032
3,MT,1.021,0.083,0.052
3,MT,0.937,0.063,0.054
3,MT,1.081,0.073,0.036
1,N2,1.096,0.06,0.043
1,N2,0.979,0.051,
1,N2,0.919,0.059,0.033
1,N2,0.993,0.056,0.04
1,N2,0.957,0.052,0.034
1,N2,,,
1,N2,1.019,0.064,0.029
1,N2,,,
1,N2,1.044,,
1,N2,1.088,0.056,0.038
1,N2,1.001,0.055,0.027
1,N2,,,
1,N2,0.862,0.053,0.04
1,N2,0.96,0.053,0.034
1,N2,0.709,,
1,N2,,,
1,N2,1.05,,
1,N2,0.835,0.046,0.025
1,N2,0.919,0.057,0.043
1,N2,,,
1,N2,0.96,0.044,0.04
1,N2,1.069,0.058,0.044
2,N2,1.058,0.06,0.031
2,N2,0.976,0.053,
2,N2,1.11,0.062,0.043
2,N2,,,
2,N2,0.908,0.054,0.044
2,N2,,,
2,N2,,,
2,N2,0.836,0.042,0.036
2,N2,0.974,0.059,0.039
2,N2,,,
2,N2,0.944,0.057,0.04
2,N2,0.814,0.038,0.02
2,N2,1.041,0.061,0.026
2,N2,,,
2,N2,1.044,0.059,0.037
2,N2,1.08,0.059,0.034
2,N2,1.359,0.089,0.053
2,N2,0.993,0.052,0.033
3,N2,1.074,0.063,0.039
3,N2,0.999,0.062,0.041
3,N2,1.063,0.066,0.036
3,N2,1.127,0.056,0.045
3,N2,0.981,0.067,0.045
3,N2,0.967,0.05,0.037
3,N2,0.888,,
3,N2,0.879,0.057,0.027
3,N2,0.902,0.043,0.031
3,N2,,,
3,N2,0.957,0.052,0.027
3,N2,0.885,0.042,0.029
3,N2,0.911,0.052,0.026
3,N2,,,
3,N2,0.954,0.055,0.033
3,N2,0.956,0.055,0.041